"Buurten";"65 jaar en ouder";"% 65 jaar en ouder";"Verhouding b.v.o. medische voorzieningen/ totale gebiedsoppervlakte";"Verhouding b.v.o. sportvoorzieningen/ totale gebiedsoppervlakte";"Verhouding b.v.o. recreatieve voorzieningen/ totale gebiedsoppervlakte";"Gem. besteedbaar gestandaardiseerd part. huishoudens inkomen";"Aantal huishoudens";"% Met migratieachtergrond";"Gemiddelde achterstandsscore";"Totaal doelgroephuishoudens met inkomen tot 130%"
"01 Oud Scheveningen";551;18,6;0,00;0,00;0,01;30700;1618;26,2;-5,9;300
"02 Vissershaven";815;18,8;0,00;0,00;0,00;32500;2303;33,2;-2,9;300
"03 Scheveningen Badplaats";972;17,3;0,00;0,01;0,01;36700;3132;37,5;-7,1;200
"04 Visserijbuurt";862;21,5;0,01;0,00;0,01;30700;2072;37,2;-4,4;300
"05 v Stolkpark/Schev Bosjes";209;25,7;0,01;0,00;0,00;75600;406;47,8;-23,3;0
"06 Waldeck-Zuid";683;33,3;0,00;0,00;0,00;26700;1198;40,0;-1,9;200
"07 Statenkwartier";1894;18,3;0,03;0,00;0,00;54900;5032;49,2;-16,1;200
"08 Geuzenkwartier";916;20,3;0,00;0,00;0,00;31500;2283;31,9;-9,7;200
"09 Vogelwijk";1118;20,5;0,00;0,03;0,00;57900;2095;28,1;-24,3;0
"10 Rond de Energiecentrale";713;11,1;0,01;0,05;0,01;27200;3650;60,8;7,5;600
"11 Kortenbos";1016;13,4;0,17;0,00;0,01;28900;4692;58,2;3,9;900
"12 Voorhout";348;13,5;0,00;0,00;0,03;43200;1725;56,1;-5,3;200
"13 Uilebomen";480;14,4;0,01;0,01;0,01;33000;2006;66,2;3,4;400
"14 Zuidwal";834;11,4;0,00;0,02;0,01;26200;4786;62,4;7,1;1100
"15 Schildersbuurt-West";1525;10,6;0,01;0,00;0,01;21400;6568;91,8;13,0;2200
"16 Schildersbuurt-Noord";1295;13,3;0,01;0,02;0,01;20900;4564;88,7;15,5;1900
"17 Schildersbuurt-Oost";838;12,3;0,03;0,00;0,01;21000;2972;93,0;13,3;1200
"18 Huygenspark";637;8,0;0,02;0,00;0,01;23600;5350;77,3;11,0;900
"19 Laakhaven-Oost";404;7,9;0,00;0,00;0,00;23600;3324;79,3;12,4;500
"20 Moerwijk-Oost";339;12,3;0,00;0,00;0,00;20700;1436;78,5;15,3;700
"21 Groente- en Fruitmarkt";403;7,8;0,00;0,00;0,00;24100;2228;90,1;8,4;500
"22 Laakhaven-West";536;7,7;0,01;0,01;0,00;22300;4137;80,0;13,2;1000
"23 Spoorwijk";380;8,7;0,00;0,00;0,01;24200;1891;79,8;10,5;500
"24 Laakkwartier-West";639;8,0;0,01;0,05;0,00;24500;4046;74,9;6,6;600
"25 Laakkwartier-Oost";972;8,4;0,00;0,01;0,00;24700;6152;74,9;7,0;800
"26 Noordpolderbuurt";734;8,8;0,00;0,02;0,01;22000;4325;85,2;13,5;1100
"30 Rustenburg";664;10,9;0,01;0,02;0,00;25900;3207;57,6;1,7;400
"31 Oostbroek-Noord";346;7,5;0,02;0,00;0,00;26000;2396;71,8;4,4;200
"32 Transvaalkwartier-Noord";453;11,7;0,00;0,00;0,01;20600;1929;91,8;17,4;800
"33 Transvaalkwartier-Midden";640;12,6;0,02;0,03;0,01;21900;2207;93,1;10,7;600
"34 Transvaalkwartier-Zuid";594;8,1;0,00;0,01;0,01;23100;3230;94,0;13,2;800
"35 Oostbroek-Zuid";566;6,8;0,01;0,00;0,00;25200;4195;77,3;5,3;500
"36 Zuiderpark";73;65,8;0,00;0,02;0,01;20400;99;38,7;"";0
"37 Moerwijk-West";803;12,9;0,03;0,05;0,00;19600;3419;78,7;15,1;1400
"38 Moerwijk-Noord";710;10,0;0,00;0,04;0,00;23200;3720;77,8;9,7;900
"39 Moerwijk-Zuid";490;10,4;0,01;0,00;0,00;21900;2426;76,1;13,0;800
"40 Nieuw Waldeck";1578;21,5;0,02;0,00;0,00;25300;3523;41,6;-1,4;800
"41 Zorgvliet";262;37,9;0,00;0,00;0,00;63800;375;46,0;-19,8;0
"42 Stadhoudersplantsoen";498;17,8;0,00;0,01;0,01;36900;1657;49,0;-6,1;100
"43 Sweelinckplein eo";753;12,8;0,01;0,00;0,00;42300;2995;44,6;-11,0;200
"44 Koningsplein eo";836;11,0;0,00;0,00;0,00;31800;4223;47,2;-1,2;500
"45 Zeeheldenkwartier";1478;11,7;0,01;0,00;0,01;32500;6976;52,6;-0,3;1000
"46 Archipelbuurt";1459;23,4;0,01;0,00;0,00;58300;3486;43,7;-17,7;200
"47 Willemspark";308;18,9;0,00;0,00;0,00;52300;1034;54,1;-10,6;100
"48 Nassaubuurt";329;20,2;0,02;0,00;0,00;65100;770;42,8;-20,1;0
"49 Haagse Bos";202;42,6;0,00;0,00;0,00;39600;242;51,1;"";0
"50 Bloemenbuurt-West";621;27,0;0,00;0,08;0,00;38500;1083;24,0;-16,2;0
"51 Bloemenbuurt-Oost";1344;20,6;0,08;0,00;0,00;33400;3410;33,0;-10,6;200
"52 Bomenbuurt";1187;19,6;0,01;0,00;0,00;33000;3162;37,9;-8,9;200
"53 Vruchtenbuurt";1248;17,3;0,03;0,01;0,00;36100;3278;27,3;-12,5;100
"54 Heesterbuurt";745;10,9;0,00;0,00;0,01;27100;3810;47,0;0,3;600
"55 Valkenboskwartier";1216;10,6;0,01;0,01;0,01;28200;6332;55,4;1,4;800
"60 Binckhorst";51;1,7;0,00;0,00;0,00;32500;623;70,1;"";0
"61 Landen";992;18,9;0,01;0,02;0,00;25900;3003;59,8;4,8;600
"62 Rivierenbuurt-Zuid";58;6,6;0,00;0,00;0,00;22100;608;73,0;16,3;100
"63 Rivierenbuurt-Noord";399;10,3;0,00;0,00;0,00;30100;2223;67,0;4,6;400
"64 Bezuidenhout-West";359;9,2;0,00;0,00;0,00;29400;2318;73,2;7,0;400
"65 Bezuidenhout-Midden";549;11,2;0,00;0,00;0,00;39600;2677;53,0;-7,2;100
"66 Bezuidenhout-Oost";1235;13,3;0,01;0,01;0,00;34900;5361;43,6;-5,8;400
"67 Kampen";494;17,9;0,00;0,02;0,01;26000;1628;56,6;4,0;300
"68 Marlot";207;25,8;0,00;0,01;0,00;74700;337;39,9;-25,1;0
"69 Burgen en Horsten";1558;23,8;0,01;0,02;0,00;27700;3781;54,3;1,2;600
"70 Oostduinen";"";"";0,00;0,00;0,00;"";"";"";"";""
"71 Belgisch Park";1752;21,1;0,01;0,00;0,00;43800;4300;37,4;-9,0;300
"72 Rijslag";452;26,4;0,01;0,03;0,00;36800;906;34,6;-9,7;100
"73 Westbroekpark";543;51,4;0,01;0,01;0,00;60900;486;34,6;-18,9;0
"74 Duttendel";397;34,3;0,00;0,02;0,00;70800;507;34,0;-21,9;0
"75 Uilennest";592;25,8;0,03;0,00;0,00;42800;1205;45,0;-10,8;0
"76 Duinzigt";1333;51,8;0,01;0,01;0,00;49700;1468;37,9;-15,4;0
"77 Waalsdorp";791;19,7;0,06;0,00;0,00;59700;1703;38,7;-20,8;0
"78 Arendsdorp";492;27,9;0,00;0,00;0,00;71200;794;44,7;-13,8;0
"79 v Hoytemastraat eo";400;16,6;0,00;0,00;0,00;50300;1086;42,4;-15,8;0
"80 Morgenstond-Zuid";650;10,1;0,02;0,05;0,00;22200;3475;79,0;13,5;1000
"81 Bosjes van Pex";94;25,1;0,00;0,16;0,01;42100;207;27,5;"";0
"82 Rosenburg";1186;36,8;0,03;0,08;0,00;27700;1768;33,3;-1,3;300
"83 Eykenduynen";480;18,2;0,00;0,00;0,00;33200;1362;28,5;-10,6;100
"84 Leyenburg";2822;17,3;0,08;0,01;0,00;28100;8809;44,8;-3,4;800
"85 Kerketuinen/Zichtenburg";6;4,4;0,00;0,00;0,00;"";65;68,1;"";0
"86 Houtwijk";2802;22,0;0,02;0,00;0,00;30300;5779;38,7;-6,0;700
"87 Venen/Oorden/Raden";1093;12,7;0,03;0,01;0,01;22200;4092;78,9;11,1;1300
"88 Morgenstond-West";1122;14,1;0,00;0,02;0,00;26500;3786;71,7;2,6;700
"89 Morgenstond-Oost";785;13,0;0,01;0,00;0,00;22100;3502;69,9;12,5;1100
"90 Ockenburgh";292;22,6;0,01;0,01;0,00;65300;507;31,0;-16,9;0
"91 Kijkduin";697;40,9;0,00;0,00;0,00;49900;894;27,1;-19,2;0
"92 Bohemen/Meer en Bos";1765;39,2;0,02;0,01;0,00;33200;2631;29,3;-10,6;200
"93 Componistenbuurt";671;36,5;0,01;0,00;0,00;35000;1069;30,2;-12,9;0
"94 Waldeck-Noord";1700;54,2;0,00;0,03;0,00;29700;2049;29,7;-6,7;100
"95 Kom Loosduinen";1598;31,6;0,02;0,00;0,01;26400;2847;30,3;-3,2;500
"96 Zijden/Steden/Zichten";1057;13,4;0,01;0,04;0,00;23500;3896;76,6;9,4;1100
"97 Kraayenstein & Vroondaal";1194;14,9;0,00;0,03;0,00;39200;3151;33,1;-10,0;100
"98 Dreven en Gaarden";1739;16,0;0,02;0,02;0,01;23300;5099;76,9;9,7;1400
"99 De Uithof";576;33,9;0,00;0,00;0,00;32400;887;31,3;-6,9;200
"100 Duindorp";920;15,9;0,00;0,00;0,00;26700;2894;20,3;-3,6;500
"101 Erasmus Veld";556;18,7;0,02;0,05;0,00;33500;1199;54,8;2,6;100
"102 Hoge Veld";759;8,3;0,00;0,00;0,00;34300;3362;52,5;3,7;300
"103 Parkbuurt Oosteinde";474;13,7;0,00;0,00;0,00;45700;1310;39,5;-16,0;0
"104 Lage Veld";652;15,4;0,00;0,00;0,00;31700;1749;52,7;-7,1;200
"105 Zonne Veld";257;7,5;0,00;0,01;0,00;34900;1285;51,9;-8,6;100
"106 Vlietzoom-West";42;22,5;0,00;0,00;0,00;"";68;17,6;"";0
"107 Vliegeniersbuurt";"";"";0,00;0,00;0,00;"";"";"";"";""
"108 Bosweide";221;11,2;0,00;0,00;0,00;67300;682;38,9;-24,9;0
"109 Tedingerbroek";"";"";"-";"-";"-";"";"";"";"";""
"110 De Reef";17;3,4;0,00;0,00;0,00;"";282;73,8;"";0
"111 De Venen";113;6,4;0,01;0,01;0,00;31400;790;57,9;5,5;100
"112 Morgenweide";615;8,7;0,00;0,01;0,00;34100;2849;50,1;-6,4;200
"113 Singels";646;11,7;0,00;0,01;0,00;33000;2171;49,0;-8,5;300
"114 Waterbuurt";419;8,8;0,00;0,00;0,00;32300;1868;48,6;-4,7;200
"115 De Bras";326;5,7;0,00;0,03;0,00;39200;1957;32,8;-5,2;200
"116 Vlietzoom-Oost";36;35,3;0,00;0,07;0,00;"";47;19,6;"";0
"117 De Rivieren";"x";"x";0,00;0,00;0,00;"";9;0,0;"";0
"118 De Lanen";297;5,5;0,00;0,00;0,00;36800;1894;48,7;1,5;100
"119 De Velden";535;12,9;0,00;0,01;0,00;36900;1589;44,0;-12,1;100
"120 De Vissen";1234;14,7;0,00;0,00;0,00;38200;3212;40,7;-11,6;200
"121 Rietbuurt";141;5,2;0,00;0,00;0,00;36600;952;50,5;-12,8;100
"Onbekend";"";"";0,00;0,00;0,00;35050;"";"";"";""
